noteLocation,xValue,isTrap
0.00 ,2.00 ,0.00 
2.50 ,2.00 ,0.00 
5.00 ,4.00 ,0.00 
7.50 ,4.00 ,0.00 
10.00 ,2.00 ,0.00 
12.50 ,2.00 ,0.00 
15.00 ,4.00 ,0.00 
17.50 ,4.00 ,0.00 
20.00 ,2.00 ,0.00 
22.50 ,2.00 ,0.00 
25.00 ,4.00 ,0.00 
27.50 ,4.00 ,0.00 
30.00 ,2.00 ,0.00 
32.50 ,2.00 ,0.00 
35.00 ,4.00 ,0.00 
37.50 ,4.00 ,0.00 
40.00 ,2.00 ,0.00 
42.50 ,2.00 ,0.00 
45.00 ,4.00 ,0.00 
47.50 ,4.00 ,0.00 
50.00 ,2.00 ,0.00 
52.50 ,2.00 ,0.00 
55.00 ,4.00 ,0.00 
57.50 ,4.00 ,0.00 
60.00 ,2.00 ,0.00 
62.50 ,2.00 ,0.00 
65.00 ,4.00 ,0.00 
67.50 ,4.00 ,0.00 
70.00 ,2.00 ,0.00 
72.50 ,2.00 ,0.00 
75.00 ,4.00 ,0.00 
77.50 ,4.00 ,0.00 
