noteLocation,xValue,isTrap,
0.00 ,4.00 ,0.00 ,
2.72 ,0.00 ,0.00 ,
4.08 ,2.00 ,0.00 ,
8.00 ,4.00 ,0.00 ,
16.00 ,4.00 ,0.00 ,
21.44 ,0.00 ,0.00 ,
24.00 ,4.00 ,0.00 ,
32.00 ,4.00 ,0.00 ,
34.72 ,0.00 ,0.00 ,
36.08 ,2.00 ,0.00 ,
40.00 ,4.00 ,0.00 ,
44.00 ,2.00 ,0.00 ,
48.00 ,4.00 ,0.00 ,
53.44 ,0.00 ,0.00 ,
56.00 ,4.00 ,0.00 ,
64.00 ,4.00 ,0.00 ,
66.72 ,0.00 ,0.00 ,
68.08 ,2.00 ,0.00 ,
72.00 ,4.00 ,0.00 ,
80.00 ,4.00 ,0.00 ,
85.44 ,0.00 ,0.00 ,
88.00 ,4.00 ,0.00 ,
96.00 ,4.00 ,0.00 ,
98.72 ,0.00 ,0.00 ,
100.08 ,2.00 ,0.00 ,
104.00 ,4.00 ,0.00 ,
108.00 ,2.00 ,0.00 ,
112.00 ,4.00 ,0.00 ,
117.44 ,0.00 ,0.00 ,
120.00 ,4.00 ,0.00 ,
128.00 ,4.00 ,0.00 ,
130.66 ,2.00 ,0.00 ,
133.31 ,2.00 ,0.00 ,
136.00 ,4.00 ,0.00 ,
137.60 ,0.00 ,0.00 ,
139.20 ,2.00 ,0.00 ,
144.00 ,0.00 ,0.00 ,
146.66 ,2.00 ,0.00 ,
149.31 ,2.00 ,0.00 ,
152.00 ,4.00 ,0.00 ,
153.60 ,0.00 ,0.00 ,
155.20 ,2.00 ,0.00 ,
160.00 ,4.00 ,0.00 ,
164.00 ,2.00 ,0.00 ,
168.00 ,4.00 ,0.00 ,
170.66 ,0.00 ,0.00 ,
173.31 ,0.00 ,0.00 ,
176.00 ,4.00 ,0.00 ,
180.00 ,2.00 ,0.00 ,
184.00 ,4.00 ,0.00 ,
186.66 ,0.00 ,0.00 ,
189.31 ,0.00 ,0.00 ,
192.00 ,4.00 ,0.00 ,
194.66 ,2.00 ,0.00 ,
197.31 ,2.00 ,0.00 ,
200.00 ,4.00 ,0.00 ,
201.60 ,0.00 ,0.00 ,
203.20 ,2.00 ,0.00 ,
208.00 ,0.00 ,0.00 ,
210.66 ,2.00 ,0.00 ,
213.31 ,2.00 ,0.00 ,
216.00 ,4.00 ,0.00 ,
217.60 ,0.00 ,0.00 ,
219.20 ,2.00 ,0.00 ,
224.00 ,4.00 ,0.00 ,
228.00 ,2.00 ,0.00 ,
232.00 ,4.00 ,0.00 ,
234.66 ,0.00 ,0.00 ,
237.31 ,0.00 ,0.00 ,
240.00 ,4.00 ,0.00 ,
244.00 ,2.00 ,0.00 ,
248.00 ,4.00 ,0.00 ,
250.66 ,0.00 ,0.00 ,
253.31 ,0.00 ,0.00 ,
