noteLocation,xValue,isTrap
0.00 ,4.00 ,3.00 
8.00 ,4.00 ,0.00 
16.00 ,4.00 ,0.00 
24.00 ,4.00 ,0.00 
32.00 ,4.00 ,0.00 
36.00 ,2.00 ,0.00 
40.00 ,4.00 ,0.00 
48.00 ,4.00 ,0.00 
56.00 ,4.00 ,0.00 
64.00 ,4.00 ,0.00 
72.00 ,4.00 ,0.00 
80.00 ,4.00 ,0.00 
88.00 ,4.00 ,0.00 
96.00 ,4.00 ,0.00 
100.00 ,2.00 ,0.00 
104.00 ,4.00 ,0.00 
112.00 ,4.00 ,0.00 
120.00 ,4.00 ,0.00 
128.00 ,4.00 ,0.00 
130.72 ,0.00 ,0.00 
133.44 ,0.00 ,0.00 
136.00 ,4.00 ,0.00 
138.72 ,0.00 ,0.00 
141.44 ,0.00 ,0.00 
144.00 ,4.00 ,0.00 
146.56 ,0.00 ,0.00 
149.44 ,0.00 ,0.00 
152.00 ,4.00 ,0.00 
154.56 ,0.00 ,0.00 
157.44 ,0.00 ,0.00 
160.00 ,4.00 ,0.00 
164.00 ,2.00 ,0.00 
168.00 ,4.00 ,0.00 
170.56 ,0.00 ,0.00 
173.44 ,0.00 ,0.00 
176.00 ,4.00 ,0.00 
178.56 ,0.00 ,0.00 
181.44 ,0.00 ,0.00 
184.00 ,4.00 ,0.00 
192.00 ,4.00 ,0.00 
194.72 ,0.00 ,0.00 
197.44 ,0.00 ,0.00 
200.00 ,4.00 ,0.00 
202.72 ,0.00 ,0.00 
205.44 ,0.00 ,0.00 
208.00 ,4.00 ,0.00 
210.56 ,0.00 ,0.00 
213.44 ,0.00 ,0.00 
216.00 ,4.00 ,0.00 
218.56 ,0.00 ,0.00 
221.44 ,0.00 ,0.00 
224.00 ,4.00 ,0.00 
228.00 ,2.00 ,0.00 
232.00 ,4.00 ,0.00 
234.56 ,0.00 ,0.00 
237.44 ,0.00 ,0.00 
240.00 ,4.00 ,0.00 
242.56 ,0.00 ,0.00 
245.44 ,0.00 ,0.00 
248.00 ,4.00 ,0.00 
