noteLocation,xValue,isTrap
0.00 ,2.00 ,0.00 
2.00 ,3.00 ,0.00 
4.00 ,4.00 ,0.00 
8.00 ,2.00 ,0.00 
12.00 ,4.00 ,0.00 
16.00 ,2.00 ,0.00 
24.00 ,4.00 ,0.00 
26.00 ,3.00 ,0.00 
28.00 ,2.00 ,0.00 
30.00 ,1.00 ,0.00 
32.00 ,2.00 ,0.00 
40.00 ,2.00 ,0.00 
48.00 ,2.00 ,0.00 
56.00 ,2.00 ,0.00 
64.00 ,2.00 ,0.00 
66.00 ,3.00 ,0.00 
68.00 ,4.00 ,0.00 
72.00 ,2.00 ,0.00 
76.00 ,4.00 ,0.00 
80.00 ,2.00 ,0.00 
88.00 ,4.00 ,0.00 
90.00 ,3.00 ,0.00 
92.00 ,2.00 ,0.00 
94.00 ,1.00 ,0.00 
96.00 ,2.00 ,0.00 
100.00 ,4.00 ,0.00 
104.00 ,2.00 ,0.00 
108.00 ,4.00 ,0.00 
112.00 ,2.00 ,0.00 
116.00 ,4.00 ,0.00 
120.00 ,4.00 ,0.00 
122.00 ,3.00 ,0.00 
124.00 ,2.00 ,0.00 
126.00 ,1.00 ,0.00 
