noteLocation,xValue,zValue
0.00 ,2.00 ,0.00 
8.00 ,2.00 ,8.00 
12.00 ,4.00 ,12.00 
16.00 ,2.00 ,16.00 
24.00 ,2.00 ,24.00 
28.00 ,4.00 ,24.00 
32.00 ,2.00 ,32.00 
40.00 ,2.00 ,40.00 
48.00 ,2.00 ,48.00 
52.00 ,4.00 ,52.00 
54.00 ,4.00 ,54.00 
56.00 ,2.00 ,56.00 
60.00 ,4.00 ,60.00 
64.00 ,2.00 ,64.00 
72.00 ,2.00 ,72.00 
76.00 ,4.00 ,76.00 
80.00 ,2.00 ,80.00 
88.00 ,2.00 ,88.00 
92.00 ,4.00 ,92.00 
96.00 ,2.00 ,96.00 
104.00 ,2.00 ,104.00 
112.00 ,2.00 ,112.00 
116.00 ,4.00 ,116.00 
120.00 ,2.00 ,120.00 
124.00 ,4.00 ,124.00 
