noteLocation,xValue
0.00 ,2.00 
2.00 ,3.00 
3.00 ,4.00 
8.00 ,2.00 
12.00 ,4.00 
16.00 ,2.00 
24.00 ,3.00 
26.00 ,2.00 
28.00 ,1.00 
30.00 ,0.00 
32.00 ,2.00 
36.00 ,4.00 
38.00 ,4.00 
40.00 ,2.00 
44.00 ,4.00 
46.00 ,4.00 
48.00 ,2.00 
52.00 ,4.00 
54.00 ,4.00 
56.00 ,3.00 
58.00 ,2.00 
60.00 ,1.00 
62.00 ,0.00 
64.00 ,2.00 
66.00 ,3.00 
67.00 ,4.00 
72.00 ,2.00 
76.00 ,4.00 
80.00 ,2.00 
88.00 ,3.00 
90.00 ,2.00 
92.00 ,1.00 
94.00 ,0.00 
96.00 ,2.00 
100.00 ,4.00 
102.00 ,4.00 
104.00 ,2.00 
108.00 ,4.00 
110.00 ,4.00 
112.00 ,2.00 
116.00 ,4.00 
118.00 ,4.00 
120.00 ,3.00 
122.00 ,2.00 
124.00 ,1.00 
126.00 ,0.00 
